,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
192,DB514,Business Studies (Law),252,252,252
193,DB515,Business Studies (Human Resource Management),244,244,244
194,DB517,Marketing (Event Management),238,238,238
195,DB518,Marketing (Digital Media),,,
196,DB521,Accounting and Finance,225,225,225
197,DB524,Business (Information Systems),342,342,342
198,DB525,Marketing (Digital Media and Cloud Computing),,,
199,DB526,Business (Cloud Computing),347,347,347
200,DB527,Applied Social Care,234,234,234
201,DB531,Marketing,293,293,293
202,DB562,Psychology,243,243,243
203,DB566,Social Science,220,220,220
204,DB567,Film and Creative Media,218,218,218
205,DB568,Law,219,219,219
206,DB569,Business (Psychology),252,252,252
207,DC001,Education - Early Childhood Education,440,440,440
208,DC002,Education - Primary Teaching,488,488,488
209,DC003,Education - Primary Teaching - Gaeltacht Applicant,445,445,445
210,DC004,Education - Primary Teaching (Church of Ireland Ce,411,411,411
211,DC009,Arts (Joint Honours) - Humanities,376,376,376
212,DC010,Post Primary Teacher Education - Religious Educati,441,441,441
213,DC011,Post Primary Teacher Education - Religious Educati,412,412,412
214,DC012,Post Primary Teacher Education - Religious Educati,378,378,378
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,419,419,419
216,DC014,BA in Jazz and Contemporary Music Performance (aud,419,419,419
217,DC110,Business Studies International,465,465,465
218,DC111,Business Studies,488,488,488
219,DC112,Global Business (France),517,517,517
220,DC113,Global Business (Germany),462,462,462
221,DC114,Global Business (Spain),522,522,522
222,DC115,Accounting and Finance,510,510,510
223,DC116,Global Business (USA),579,579,579
224,DC117,Aviation Management / Aviation Management with Pil,476,476,476
225,DC118,Gn� agus Gaeilge / Business and Irish,359,359,359
226,DC119,Global Business (Canada),564,564,564
227,DC120,Computing for Business,357,357,357
228,DC121,Computer Science,400,400,400
229,DC123,Data Science,465,465,465
230,DC126,Actuarial Mathematics,560,560,560
231,DC127,Common Entry into Actuarial and Financial Mathemat,532,532,532
232,DC131,Communication Studies,407,407,407
233,DC132,Journalism,429,429,429
234,DC133,Multimedia,411,411,411
235,DC155,Applied Language and Translation Studies,387,387,387
236,DC161,Analytical Science,498,498,498
237,DC162,Chemical and Pharmaceutical Sciences,521,521,521
238,DC163,Chemical Sciences General Entry (Undenominated Ent,,,
239,DC166,Environmental Science and Technology,433,433,433
240,DC168,Genetics and Cell Biology,512,512,512
241,DC175,Physics General Entry (options),419,419,419
242,DC180,Biological Sciences General Entry (Undenominated E,,,
243,DC181,Biotechnology,499,499,499
244,DC190,Electronic and Computer Engineering (with choice o,413,413,413
245,DC193,Mechatronic Engineering,411,411,411
246,DC194,Sustainable Systems and Energy,,,
247,DC195,Mechanical and Manufacturing Engineering,425,425,425
248,DC197,Biomedical Engineering,423,423,423
249,DC200,Common Entry into Engineering (Undenominated Entry,422,422,422
250,DC202,Sport Science and Health,500,500,500
251,DC203,Science Education,435,435,435
252,DC204,Athletic Therapy and Training,522,522,522
253,DC205,Physical Education with Biology,531,531,531
254,DC206,Physical Education with Mathematics,499,499,499
255,DC207,Psychology and Mathematics,,,
256,DC208,Psychology,532,532,532
257,DC209,Health and Society,465,465,465
258,DC210,Psychology and Disruptive Technologies,,,
259,DC215,General Nursing,454,454,454
260,DC216,Mental Health Nursing,418,418,418
261,DC217,Intellectual Disability Nursing,370,370,370
262,DC218,Children`s and General Nursing (Integrated),500,500,500
263,DC230,Economics  Politics and Law,435,435,435
264,DC231,International Relations,397,397,397
265,DC232,Law and Society (BCL),466,466,466
266,DC235,Education and Training - Daytime and Flexible Deli,309,309,309
267,DC238,Social Sciences and Cultural Innovation,377,377,377
268,DC240,Marketing  Innovation and Technology,476,476,476
269,DC241,Digital Business and Innovation,,,
270,DC291,Arts (Joint Honours) - Media Studies,376,376,376
271,DC292,Arts (Joint Honours) - Law,403,403,403
272,DC293,Arts (Joint Honours) - International Languages,377,377,377
273,DC294,Climate and Environmental Sustainability,,,
274,DC295,Arts (Joint Honours) - Politics,376,376,376
275,DL822,Arts Management,229,229,229
276,DL823,Business Management,235,235,235
277,DL825,Applied Psychology,379,379,379
278,DL826,Graphic Design,855,855,855
279,DL827,Art,572,572,572
280,DL832,Animation,920,920,920
281,DL833,Photography and Visual Media,650,650,650
282,DL836,Creative Computing,219,219,219
283,DL837,New Media Studies,201,201,201
284,DL838,Creative Music Production,754,754,754
285,DL839,Interaction and User Experience Design,683,683,683
286,DL840,Digital Marketing,228,228,228
287,DL841,English and Equality Studies,276,276,276
288,DL843,Film,,,
289,DL844,Television,,,
290,DL845,Design for Film (degree options),,,
291,GC200,Business,252,252,252
292,GC201,Accounting and Finance,303,303,303
293,GC230,Computing Science,335,335,335
294,GC300,Business,429,429,429
295,GC301,Accounting and Finance,253,253,253
296,GC302,Business - HRM,,,
297,GC307,Business (Marketing),,,
298,GC400,Business,248,248,248
299,GC401,Accounting and Finance,240,240,240
300,GC402,Business (HRM),264,264,264
301,GC403,Law,244,244,244
302,GC407,Business (Marketing),280,280,280
303,GC430,Computing Science,252,252,252
304,GC450,Communications and Media Production,254,254,254
305,GC462,Design Communication (portfolio),,,
306,GC489,Interior Architecture (portfolio),254,254,254
307,GC494,Fashion Design (portfolio),337,337,337
308,BY001,Business,,,
309,ID001,Accounting and Finance,203,203,203
310,ID002,Business Studies,294,294,294
311,AD101,First Year Art and Design (Common Entry portfolio),,,
312,AD102,Graphic Design and Moving Image Design (portfolio),,,
313,AD103,Textile and Surface Design and Jewellery and Objec,,,
314,AD202,Education and Design or Fine Art (Second Level Tea,,,
315,AD204,Fine Art (portfolio),,,
316,AD211,Fashion Design (portfolio),,,
317,AD212,Product Design (portfolio),,,
318,AD215,Visual Culture,377,377,377
319,AD217,Illustration (portfolio),,,
320,AD222,Interaction Design (portfolio),,,
321,NC003,Computing (Degree Award options),260,260,260
322,NC005,Human Resource Management,300,300,300
323,NC009,Business,300,300,300
324,NC010,Psychology,400,400,400
325,NC020,Marketing Practice,280,280,280
326,NC022,Accounting and Finance,337,337,337
327,NC023,Technology Management (with specialisations),261,261,261
328,NC030,Early Childhood Education and Care,,,
329,RC001,Medicine - Undergraduate Entry (HPAT required),733,733,733
330,RC004,Physiotherapy,566,566,566
331,RC005,Pharmacy,579,579,579
332,RC101,Medicine - Graduate Entry (GAMSAT required),,,
333,NM801,Montessori Education,220,220,220
334,NM802,Psychology,,,
335,TU801,Sustainable Energy Engineering,235,235,235
336,TU802,Electrical Services and Energy Management,317,317,317
337,TU804,Engineering (Common Entry with Award options),271,271,271
338,TU805,Engineering (General Entry),402,402,402
339,TU807,Computer Engineering in Mobile Systems,276,276,276
340,TU810,Mechatronic Engineering,270,270,270
341,TU811,Product Design,411,411,411
342,TU812,Design Technology and Innovation,270,270,270
343,TU814,Sustainable Transport Management,285,285,285
344,TU828,Mechanical Engineering (General Entry),,,
345,TU829,Electronic Engineering (General Entry),,,
346,TU831,Architectural Technology,410,410,410
347,TU832,Architecture (Suitability Test and Interview),622,622,622
348,TU833,Construction Management,367,367,367
349,TU834,Geographic Science,288,288,288
350,TU835,Planning and Environmental Management,313,313,313
351,TU836,Property Economics (Valuation Surveying),401,401,401
352,TU837,Quantity Surveying and Construction Economics,385,385,385
353,TU838,Sustainable Timber Technology,,,
354,TU851,Analytical Chemistry (Environmental  Forensic and,349,349,349
355,TU852,Chemical Sciences with Medicinal Chemistry,476,476,476
356,TU854,Science (General Entry),476,476,476
357,TU855,Science with Nanotechnology,331,331,331
358,TU856,Computer Science,476,476,476
359,TU857,Computer Science (Infrastructure),391,391,391
360,TU858,Computer Science (International),377,377,377
361,TU859,Computing,217,217,217
362,TU860,Computing (Information Technology),260,260,260
363,TU861,Computing with Language (French/German/Spanish),308,308,308
364,TU862,Computing with Artificial Intelligence Machine Lea,226,226,226
365,TU863,Digital Forensics and Cyber Security,280,280,280
366,TU864,DNA and Forensic Analysis,400,400,400
367,TU865,Cloud Computing,226,226,226
368,TU866,Biomedical and Molecular Diagnostics,487,487,487
369,TU867,Biomedical Science,524,524,524
370,TU868,Clinical Measurement Science,510,510,510
371,TU869,Environmental Health,336,336,336
372,TU870,Human Nutrition and Dietetics,578,578,578
373,TU871,Optometry,509,509,509
374,TU872,Public Health Nutrition,491,491,491
375,TU874,Mathematical Sciences,341,341,341
376,TU875,Pharmaceutical Healthcare,400,400,400
377,TU876,Pharmaceutical Science,377,377,377
378,TU877,Physics Technology,308,308,308
379,TU878,Physics with Energy and Environment,337,337,337
380,TU879,Physics with Medical Physics and Bioengineering,351,351,351
381,TU880,Physics with Data Science,578,578,578
382,TU881,Food Innovation,318,318,318
383,TU882,Nutraceuticals in Health and Nutrition,397,397,397
384,TU902,Business (options),271,271,271
385,TU903,Business and Management,463,463,463
386,TU904,Business and Law,462,462,462
387,TU905,Economics and Finance,465,465,465
388,TU906,Human Resource Management,395,395,395
389,TU907,Logistics and Supply Chain Management,300,300,300
390,TU910,Accounting,444,444,444
391,TU912,Business Analytics,330,330,330
392,TU914,Business Computing,324,324,324
393,TU917,Law (LLB ) with a Language,342,342,342
394,TU918,Law (LLB),451,451,451
