,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
322,NC005,Human Resource Management,301,300,297
323,NC009,Business,300,300,297
324,NC010,Psychology,420,400,366
325,NC020,Marketing Practice,270,280,270
326,NC022,Accounting and Finance,330,337,338
327,NC023,Technology Management (with specialisations),266,261,260
328,NC030,Early Childhood Education and Care,251,0,0
329,RC001,Medicine - Undergraduate Entry (HPAT required),741,733,729
330,RC004,Physiotherapy,589,566,532
331,RC005,Pharmacy,613,579,555
332,RC101,Medicine - Graduate Entry (GAMSAT required),0,0,60
333,NM801,Montessori Education,262,220,0
334,NM802,Psychology,228,0,0
335,TU801,Sustainable Energy Engineering,235,235,0
336,TU802,Electrical Services and Energy Management,309,317,0
337,TU804,Engineering (Common Entry with Award options),270,271,0
338,TU805,Engineering (General Entry),466,402,0
339,TU807,Computer Engineering in Mobile Systems,274,276,0
340,TU810,Mechatronic Engineering,271,270,0
341,TU811,Product Design,440,411,0
342,TU812,Design Technology and Innovation,278,270,0
343,TU814,Sustainable Transport Management,253,285,0
344,TU828,Mechanical Engineering (General Entry),300,0,0
345,TU829,Electronic Engineering (General Entry),248,0,0
346,TU831,Architectural Technology,423,410,0
347,TU832,Architecture (Suitability Test and Interview),644,622,0
348,TU833,Construction Management,396,367,0
349,TU834,Geographic Science,315,288,0
350,TU835,Planning and Environmental Management,330,313,0
351,TU836,Property Economics (Valuation Surveying),411,401,0
352,TU837,Quantity Surveying and Construction Economics,413,385,0
353,TU838,Sustainable Timber Technology,307,0,0
354,TU851,Analytical Chemistry (Environmental  Forensic and,400,349,0
355,TU852,Chemical Sciences with Medicinal Chemistry,477,476,0
356,TU854,Science (General Entry),510,476,0
357,TU855,Science with Nanotechnology,322,331,0
358,TU856,Computer Science,499,476,0
359,TU857,Computer Science (Infrastructure),403,391,0
360,TU858,Computer Science (International),395,377,0
361,TU859,Computing,251,217,0
362,TU860,Computing (Information Technology),270,260,0
363,TU861,Computing with Language (French/German/Spanish),235,308,0
364,TU862,Computing with Artificial Intelligence Machine Lea,262,226,0
365,TU863,Digital Forensics and Cyber Security,282,280,0
366,TU864,DNA and Forensic Analysis,500,400,0
367,TU865,Cloud Computing,235,226,0
368,TU866,Biomedical and Molecular Diagnostics,522,487,0
369,TU867,Biomedical Science,576,524,0
370,TU868,Clinical Measurement Science,542,510,0
371,TU869,Environmental Health,387,336,0
372,TU870,Human Nutrition and Dietetics,601,578,0
373,TU871,Optometry,532,509,0
374,TU872,Public Health Nutrition,487,491,0
375,TU874,Mathematical Sciences,294,341,0
376,TU875,Pharmaceutical Healthcare,451,400,0
377,TU876,Pharmaceutical Science,445,377,0
378,TU877,Physics Technology,314,308,0
379,TU878,Physics with Energy and Environment,339,337,0
380,TU879,Physics with Medical Physics and Bioengineering,346,351,0
381,TU880,Physics with Data Science,412,578,0
382,TU881,Food Innovation,309,318,0
383,TU882,Nutraceuticals in Health and Nutrition,380,397,0
384,TU902,Business (options),270,271,0
385,TU903,Business and Management,477,463,0
386,TU904,Business and Law,462,462,0
387,TU905,Economics and Finance,460,465,0
388,TU906,Human Resource Management,386,395,0
389,TU907,Logistics and Supply Chain Management,300,300,0
390,TU910,Accounting,420,444,0
391,TU912,Business Analytics,331,330,0
392,TU914,Business Computing,322,324,0
393,TU917,Law (LLB ) with a Language,356,342,0
394,TU918,Law (LLB),463,451,0
395,TU919,Advertising and Marketing Communications,219,228,0
396,TU920,Digital Marketing,270,270,0
397,TU921,Digital Marketing Technologies,230,212,0
398,TU922,Marketing,412,418,0
399,TU924,E-Commerce in Retailing,307,307,0
400,TU925,Retail and Services Management,307,301,0
401,TU932,Business (options),211,0,0
402,TU933,Accounting and Finance (campus options),251,0,0
403,TU935,Sports Management and Coaching,300,300,0
404,TU936,Sports Science and Health,484,410,0
405,TU941,Botanical Cuisine,311,249,0
406,TU942,Culinary Arts,252,212,0
407,TU943,Culinary Entrepreneurship,261,278,0
408,TU944,Culinary Science,336,316,0
409,TU951,International Hospitality and Tourism Management,244,184,0
410,TU952,International Hospitality Management,309,300,0
411,TU953,Tourism and Digital Marketing,308,290,0
412,TU954,Event Management,326,356,0
413,TU955,Sports and Leisure Management,275,217,0
414,TU961,Commercial Modern Music (BIMM - assessment/auditio,536,608,0
415,TU962,Drama (Performance  audition),448,379,0
416,TU963,Music (audition),364,416,0
417,TU965,International Business and Languages,357,356,0
418,TU967,Languages and International Tourism,298,308,0
419,TU973,Design - Visual Communication (portfolio),700,717,0
420,TU974,Fine Art (portfolio),549,709,0
421,TU975,Interior Design (portfolio),544,632,0
422,TU976,Photography (portfolio),700,695,0
423,TU978,Creative Industries and Visual Culture,299,0,0
424,TU981,Creative Digital Media,280,280,0
425,TU982,Media Production and Digital Arts,369,320,0
426,TU983,Film and Broadcasting,462,456,0
427,TU984,Game Design,414,381,0
428,TU985,Journalism,367,322,0
429,TU989,Early Childhood Care and Education (campus options,270,0,0
430,TU991,Applied Social Studies in Social Care,326,325,0
431,TU992,Community Development and Youth Work,251,251,0
432,TU995,Early Childhood Education,378,367,0
433,TU996,Social Care,407,400,0
434,TU997,Applied Social Care,320,310,0
435,TR002,Music,508,435,414
436,TR003,History,552,497,486
437,TR004,Law,590,566,532
438,TR005,Philosophy,510,442,391
439,TR006,Psychology,601,567,555
440,TR007,Clinical Speech and Language Studies,564,529,499
441,TR009,Music Education,496,420,430
442,TR015,Philosophy  Political Science  Economics and Socio,613,589,566
443,TR016,Deaf Studies,389,340,337
444,TR018,Law and French,602,565,532
445,TR019,Law and German,577,543,523
446,TR021,Classics  Ancient History and Archaeology,467,370,377
447,TR022,Early and Modern Irish,377,398,347
448,TR023,English Studies,546,487,463
449,TR024,European Studies,566,544,520
450,TR025,Drama and Theatre Studies,543,564,489
451,TR028,Ancient and Medieval History and Culture,498,342,339
452,TR031,Mathematics,579,531,566
453,TR032,Engineering,556,510,487
454,TR033,Computer Science,566,509,465
455,TR034,Management Science and Information Systems Studies,625,613,589
456,TR035,Theoretical Physics,590,543,554
457,TR038,Engineering with Management,589,532,499
458,TR039,Computer Science  Linguistics and a Language,443,454,435
459,TR040,Middle Eastern and European Languages and Cultures,520,466,485
460,TR041,Religion,417,368,347
461,TR042,Film,531,489,0
462,TR043,History of Art and Architecture,498,393,0
463,TR051,Medicine (HPAT required),743,735,730
464,TR052,Dental Science,625,613,590
465,TR053,Physiotherapy,590,566,533
466,TR054,Occupational Therapy,578,533,500
467,TR055,Radiation Therapy,577,543,510
468,TR056,Human Health and Disease,601,565,543
469,TR060,Biological and Biomedical Sciences,578,543,510
470,TR061,Chemical Sciences,558,517,488
471,TR062,Geography and Geoscience,495,473,435
472,TR063,Physical Sciences,554,498,498
473,TR064,Environmental Science and Engineering,555,0,0
474,TR072,Pharmacy,613,590,555
475,TR080,Global Business,613,589,565
476,TR081,Business  Economic and Social Studies (BESS),577,543,518
477,TR084,Social Studies (Social Work),497,462,420
478,TR085,Business Studies and French,564,540,509
479,TR086,Business Studies and German,530,509,474
480,TR087,Business Studies and Russian,487,474,467
481,TR089,Business Studies and Polish,391,444,393
482,TR090,Business Studies and Spanish,566,531,510
