HEI Course Code,INSTITUTION and COURSE,EOS,Mid,,
"Technological University Dublin City Campus",DT101,Architecture (test and interview),#618,647
"Technological University Dublin City Campus",DT106,Planning and Environmental Management,312,337
"Technological University Dublin City Campus",DT110,Property Economics (Valuation Surveying),367,424
"Technological University Dublin City Campus",DT111,Quantity Surveying and Construction Economics,391,421
"Technological University Dublin City Campus",DT112,Geographic Science,287,335
"Technological University Dublin City Campus",DT117,Construction Management,356,373
"Technological University Dublin City Campus",DT175,Architectural Technology,388,425
"Technological University Dublin City Campus",DT201,Science (General Entry),464,477
"Technological University Dublin City Campus",DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
"Technological University Dublin City Campus",DT204,Biomedical Science,501,512
"Technological University Dublin City Campus",DT205,Mathematical Sciences,315,363
"Technological University Dublin City Campus",DT206,Biomedical and Molecular Diagnostics,473,487
"Technological University Dublin City Campus",DT211,Computer Science (Infrastructure),381,414
"Technological University Dublin City Campus",DT220,Industrial Mathematics,300,317
"Technological University Dublin City Campus",DT221,Physics with Energy and Environment,348,436
"Technological University Dublin City Campus",DT222,Physics Technology,321,371
"Technological University Dublin City Campus",DT223,Human Nutrition and Dietetics,553,566
"Technological University Dublin City Campus",DT224,Optometry,487,529
"Technological University Dublin City Campus",DT225,Public Health Nutrition,440,476
"Technological University Dublin City Campus",DT227,Science with Nanotechnology,312,361
"Technological University Dublin City Campus",DT228,Computer Science,451,466
"Technological University Dublin City Campus",DT229,Clinical Measurement Science,491,509
"Technological University Dublin City Campus",DT235,Physics with Medical Physics and Bioengineering,357,403
"Technological University Dublin City Campus",DT282,Computer Science (International),377,402
"Technological University Dublin City Campus",DT299,Chemical Sciences with Medicinal Chemistry,420,445
"Technological University Dublin City Campus",DT302,Business Analytics,325,403
"Technological University Dublin City Campus",DT304,E-Commerce in Retailing,341,388
"Technological University Dublin City Campus",DT321,Business and Law,462,478
"Technological University Dublin City Campus",DT341,Marketing,400,419
"Technological University Dublin City Campus",DT343,Retail and Services Management,301,332
"Technological University Dublin City Campus",DT354,Business Computing,322,341
"Technological University Dublin City Campus",DT358,Logistics and Supply Chain Management,300,359
"Technological University Dublin City Campus",DT365,Business and Management,440,456
"Technological University Dublin City Campus",DT366,Accounting and Finance,432,454
"Technological University Dublin City Campus",DT398,Human Resource Management,375,388
"Technological University Dublin City Campus",DT399,Economics and Finance,437,465
"Technological University Dublin City Campus",DT401,International Hospitality Management,300,337
"Technological University Dublin City Campus",DT405,Culinary Science,308,377
"Technological University Dublin City Campus",DT407,Culinary Arts,271,342
"Technological University Dublin City Campus",DT412,Tourism Marketing,284,322
"Technological University Dublin City Campus",DT413,Event Management,356,389
"Technological University Dublin City Campus",DT416,Culinary Entrepreneurship,275,339
"Technological University Dublin City Campus",DT420,Nutraceuticals in Health and Nutrition,392,432
"Technological University Dublin City Campus",DT421,Food Innovation,321,366
"Technological University Dublin City Campus",DT422,Pharmaceutical Healthcare,397,423
"Technological University Dublin City Campus",DT491,Environmental Health,343,380
"Technological University Dublin City Campus",DT501,Music,#383,520
"Technological University Dublin City Campus",DT504,Film and Broadcasting,443,467
"Technological University Dublin City Campus",DT506,Commercial Modern Music,#468,835
"Technological University Dublin City Campus",DT508,Game Design,403,454
"Technological University Dublin City Campus",DT517,Languages and English Studies,326,419
"Technological University Dublin City Campus",DT518,Languages and International Tourism,307,357
"Technological University Dublin City Campus",DT529,Drama (Performance),#371,519
"Technological University Dublin City Campus",DT532,Law (LL.B.),422,441
"Technological University Dublin City Campus",DT533,Contemporary Visual Culture,#,
"Technological University Dublin City Campus",DT544,Interior Design,#552,866
"Technological University Dublin City Campus",DT545,Design - Visual Communication,#667,897
"Technological University Dublin City Campus",DT546,Fine Art,#668,813
"Technological University Dublin City Campus",DT555,International Business and Languages,353,399
"Technological University Dublin City Campus",DT559,Photography,#700,926
"Technological University Dublin City Campus",DT571,Social Care,394,424
"Technological University Dublin City Campus",DT572,Early Childhood Education,385,403
"Technological University Dublin City Campus",DT582,Journalism,347,373
"Technological University Dublin City Campus",DT596,Print Media Technology and Management,252,311
"Technological University Dublin City Campus",DT597,Creative and Cultural Industries,280,369, ,
"Dun Laoghaire Institute of Art, Design and Technology",DL821,English, Media and Cultural Studies,211,317
"Dun Laoghaire Institute of Art, Design and Technology",DL822,Arts Management,209,319
"Dun Laoghaire Institute of Art, Design and Technology",DL823,Business Studies - Entrepreneurship and Management,260,316
"Dun Laoghaire Institute of Art, Design and Technology",DL825,Applied Psychology,349,413
"Dun Laoghaire Institute of Art, Design and Technology",DL826,Visual Communication Design,#736,989
"Dun Laoghaire Institute of Art, Design and Technology",DL827,Art,#583,902
"Dun Laoghaire Institute of Art, Design and Technology",DL828,3D Design, Modelmaking and Digital Art,#691,866
"Dun Laoghaire Institute of Art, Design and Technology",DL829,Design for Stage and Screen (Costume Design),#817,1021
"Dun Laoghaire Institute of Art, Design and Technology",DL830,Design for Stage and Screen (Makeup Design),#879,953
"Dun Laoghaire Institute of Art, Design and Technology",DL831,Design for Stage and Screen (Production Design),#893,1073
"Dun Laoghaire Institute of Art, Design and Technology",DL832,Animation,#855,1055
"Dun Laoghaire Institute of Art, Design and Technology",DL833,Photography,#636,791
"Dun Laoghaire Institute of Art, Design and Technology",DL834,Film and Television Production,#933,1011
"Dun Laoghaire Institute of Art, Design and Technology",DL835,Creative Media Technologies,237,289
"Dun Laoghaire Institute of Art, Design and Technology",DL836,Creative Computing,217,326
"Dun Laoghaire Institute of Art, Design and Technology",DL837,New Media Studies,290,349
"Dun Laoghaire Institute of Art, Design and Technology",DL838,Creative Music Production,#746,873, ,
"Griffith College",GC200,Business Studies (Cork),269,359
"Griffith College",GC201,Accounting and Finance (Cork),251,388
"Griffith College",GC230,Computing Science (Cork),228,327
"Griffith College",GC300,Business Studies (Limerick),251,302
"Griffith College",GC301,Accounting and Finance,307,314
"Griffith College",GC302,Business Studies - (HRM, Limerick),269,269
"Griffith College",GC305,International Hospitality Management (Limerick),327,327
"Griffith College",GC400,Business Studies (Dublin),246,297
"Griffith College",GC401,Accounting and Finance (Dublin),181,309
"Griffith College",GC402,Business Studies (HRM, Dublin),217,290
"Griffith College",GC403,Law (Dublin),225,308
"Griffith College",GC405,International Hospitality Management (Dublin),254,272
"Griffith College",GC407,Business Studies (Marketing, Dublin),246,330
"Griffith College",GC430,Computing Science (Dublin),217,269
"Griffith College",GC450,Journalism and Visual Media (Dublin),227,307
"Griffith College",GC462,Design Communication (Dublin),,
"Griffith College",GC489,Interior Architecture (Dublin),#267,361
"Griffith College",GC494,Fashion Design (Dublin),#,, ,
"ICD Business School",ID001,Accounting and Finance,229,291
"ICD Business School",ID002,Business Studies,285,366
"ICD Business School",ID003,Business Studies with Chinese,, ,
"Technological University Dublin Blanchardstown Campus",BN101,Business,252,289
"Technological University Dublin Blanchardstown Campus",BN103,Business and Information Technology,254,290
"Technological University Dublin Blanchardstown Campus",BN104,Computing (Information Technology),260,293
"Technological University Dublin Blanchardstown Campus",BN107,Applied Social Studies in Social Care,300,328
"Technological University Dublin Blanchardstown Campus",BN108,Engineering (Common Entry with Award options),271,318
"Technological University Dublin Blanchardstown Campus",BN109,Business (Common Entry with Award options),260,279
"Technological University Dublin Blanchardstown Campus",BN110,International Business,253,308
"Technological University Dublin Blanchardstown Campus",BN111,Sports Management and Coaching,270,298
"Technological University Dublin Blanchardstown Campus",BN112,Creative Digital Media,280,329
